no,weight_adult,wing_area_mm2,length_mm
323,0.5282,825.159,48.9678
324,0.5778,894.423,51.5097
325,NA,NA,NA
326,0.4633,787.441,48.8675
327,0.52,754.999,48.7802
329,0.4874,806.625,48.1954
330,NA,NA,NA
331,NA,NA,NA
332,NA,NA,NA
333,NA,NA,NA
334,NA,NA,NA
335,NA,NA,NA
336,0.5699,861.247,51.5293
337,0.423,702.492,46.8885
338,NA,NA,NA
339,0.6119,819.27,49.462
340,NA,NA,NA
341,NA,NA,NA
342,NA,NA,NA
343,NA,NA,NA
344,NA,NA,NA
345,NA,NA,NA
346,NA,NA,NA
347,0.5325,827.035,50.7451
348,NA,NA,NA
349,NA,NA,NA
350,NA,NA,NA
351,0.644,960.57,54.1263
352,0.613,899.071,52.5063
353,0.6261,903.408,51.3822
354,NA,NA,NA
355,NA,NA,NA
356,0.5352,814.918,49.3426
357,0.5195,807.478,49.3488
358,0.4427,NA,NA
359,NA,NA,NA
360,0.6104,893.802,50.2262
361,0.5045,762.144,48.254
362,0.4822,NA,NA
363,NA,NA,NA
364,NA,NA,NA
365,0.5611,909.776,52.2067
366,NA,NA,NA
367,0.599,904.656,50.6623
368,0.6073,845.301,50.5299
369,0.5578,862.721,50.4306
370,NA,NA,NA
371,NA,NA,NA
372,0.5202,819.608,50.5226
373,0.5115,788.633,48.5354
374,NA,NA,NA
375,0.476,749.597,46.1896
376,NA,NA,NA
377,NA,NA,NA
378,0.5636,861.699,52.2112
379,0.4444,759.52,47.3481
380,NA,NA,NA
381,0.5019,NA,NA
382,0.5484,824.298,50.6943
383,0.6613,925.405,52.6105
384,NA,NA,NA
385,NA,NA,NA
386,NA,NA,NA
387,0.5236,NA,NA
388,0.455,750.33,47.7381
389,NA,NA,NA
390,NA,NA,NA
391,0.4615,757.94,47.489
392,NA,NA,NA
393,NA,NA,NA
394,0.7115,899.599,52.4128
395,NA,NA,NA
396,NA,NA,NA
397,0.578,816.223,49.364
398,0.4453,762.637,48.4719
399,0.5656,897.075,52.0629
400,NA,NA,NA
401,0.5568,881.636,49.6974
402,0.5084,773.562,48.6717
403,NA,NA,NA
404,0.5546,788.013,49.7377
405,NA,NA,NA
406,NA,NA,NA
407,NA,NA,NA
408,NA,NA,NA
409,NA,NA,NA
410,NA,NA,NA
411,0.5332,794.043,48.6421
412,0.3134,643.229,43.3628
413,0.4269,746.458,47.6426
414,NA,NA,NA
415,0.6239,904.233,51.2852
416,NA,NA,NA
417,0.3553,670.057,44.3215
418,0.4857,901.215,50.8695
419,0.4761,820.321,48.5318
420,0.5232,885.395,50.5613
421,NA,NA,NA
422,NA,NA,NA
423,0.431,751.402,46.8647
424,NA,NA,NA
425,0.412,667.603,44.6192
426,NA,NA,NA
427,NA,NA,NA
428,NA,NA,NA
429,NA,NA,NA
430,0.4859,744.124,48.4189
431,NA,NA,NA
432,0.634,828.636,48.2504
433,NA,NA,NA
434,NA,NA,NA
435,0.5483,868.215,50.6017
436,0.5124,813.106,48.5563
437,0.417,751.064,47.7674
438,0.4313,753.539,48.2096
439,0.5055,819.792,49.3686
440,NA,NA,NA
441,NA,NA,NA
442,0.5886,814.679,50.3184
443,NA,NA,NA
444,NA,NA,NA
445,0.4497,732.635,47.2255
446,NA,NA,NA
447,NA,NA,NA
448,NA,NA,NA
449,NA,NA,NA
450,NA,NA,NA
451,0.4824,817.084,49.4101
452,NA,NA,NA
453,0.5347,877.447,49.9024
454,NA,NA,NA
455,0.5778,873.582,50.9765
456,NA,NA,NA
457,0.5077,852.897,48.925
458,0.3704,699.565,44.768
459,NA,NA,NA
460,NA,NA,NA
461,NA,NA,NA
462,NA,NA,NA
463,0.5451,849.596,49.6064
464,0.6416,954.018,53.9414
465,0.6276,940.477,51.5703
466,0.4929,793.916,49.4001
467,0.6031,850.76,50.1586
468,0.3165,NA,NA
469,NA,NA,NA
470,NA,NA,NA
471,0.6301,953.792,53.453
472,NA,NA,NA
473,0.4543,787.448,47.1813
474,0.4638,768.787,47.4406
475,0.5408,822.147,49.0742
476,NA,NA,NA
477,NA,NA,NA
478,NA,NA,NA
479,NA,NA,NA
480,0.3698,NA,NA
481,0.5327,764.972,48.5568
482,NA,NA,NA
483,0.4952,778.386,46.1544
484,0.3832,693.74,45.6718
485,0.5968,875.762,51.2801
486,NA,NA,NA
487,NA,NA,NA
488,0.4633,762.151,47.2276
489,0.5887,807.231,50.1258
490,0.5924,859.512,50.3149
491,NA,NA,NA
492,NA,NA,NA
493,0.5064,825.603,49.033
494,0.5453,855.224,51.028
495,0.547,794.233,48.2944
496,NA,NA,NA
497,0.458,746.381,47.831
498,NA,NA,NA
499,NA,NA,NA
500,NA,NA,NA
501,NA,NA,NA
502,NA,NA,NA
503,NA,NA,NA
504,NA,NA,NA
505,NA,NA,NA
506,NA,NA,NA
507,NA,NA,NA
508,NA,NA,NA
509,NA,NA,NA
510,NA,554.267,40.2304
511,NA,NA,NA
512,NA,NA,NA
513,NA,NA,NA
514,NA,NA,NA
515,NA,854.3,50.1262
516,NA,NA,NA
517,NA,NA,NA
518,0.6134,875.712,51.0793
519,0.5801,821.111,48.9588
520,0.4546,718.488,46.2449
521,0.5058,830.596,50.5563
522,NA,NA,NA
523,0.519,836.034,50.3557
524,0.5348,841.352,49.7277
525,0.3558,722.381,46.3817
526,0.4942,794.952,49.3838
527,NA,NA,NA
528,NA,NA,NA
529,NA,NA,NA
530,NA,NA,NA
531,NA,NA,NA
532,0.3974,735.344,47.05
533,NA,NA,NA
534,NA,NA,NA
535,NA,NA,NA
536,NA,NA,NA
537,NA,NA,NA
538,0.599,917.845,51.928
539,NA,NA,NA
540,NA,NA,NA
541,NA,NA,NA
542,0.5235,813.268,49.9693
543,0.4282,725.202,46.6032
544,NA,NA,NA
545,NA,NA,NA
546,0.4808,777.998,47.1636
547,NA,NA,NA
548,NA,NA,NA
549,NA,NA,NA
550,NA,NA,NA
551,0.5738,882.25,50.8699
552,NA,NA,NA
553,NA,NA,NA
554,NA,NA,NA
555,0.5696,869.689,49.4319
556,NA,NA,NA
557,NA,NA,NA
558,NA,NA,NA
559,NA,NA,NA
560,NA,NA,NA
561,NA,827.754,49.7049
562,NA,NA,NA
563,NA,NA,NA
564,0.4567,809.848,48.3071
565,0.4473,813.423,49.3812
566,NA,NA,NA
567,NA,NA,NA
568,NA,NA,NA
569,0.571,846.528,50.1729
570,0.4978,807.781,49.0657
571,NA,NA,NA
572,0.5447,875.543,50.3772
573,NA,NA,NA
574,0.4918,752.298,45.6551
575,NA,NA,NA
576,0.5598,809.361,47.815
577,NA,NA,NA
578,NA,NA,NA
579,0.5053,792.202,49.0072
580,0.7278,NA,NA
581,NA,NA,NA
582,NA,673.647,45.0539
583,NA,NA,NA
584,NA,NA,NA
585,0.5868,853.729,51.1631
586,0.612,867.982,50.1879
587,NA,NA,NA
588,0.5073,739.498,44.6209
589,NA,NA,NA
590,0.5508,807.055,48.3484
591,0.4232,745.81,48.6621
592,NA,NA,NA
593,NA,NA,NA
594,0.6811,NA,NA
595,0.4513,NA,NA
596,0.5686,859.399,50.0895
597,0.4718,796.187,47.4616
598,NA,NA,NA
599,NA,NA,NA
600,NA,NA,NA
