no,host,parasite,plant,isolate,inoc_date,into_pint,plant_lineage,lineage,imm_stage,imm_assay,imm_date,imm_weight,pup_date,eclo_date,death_date,death_stage,notes,eclosion_date,sex,weight_adult,tape_score,pupal_score,notes_adult,load,wing_area_mm2,length_mm,breath_mm,density,host_long,parasite_long2,plant_long2,longev,cycle_eclosion,cycle_larva,cycle_pupa,pre_mort,larv_mort,pupa_mort,crumpled,outcome,exclude,parasite2,mn_initial,mn_final,mn_diff,mn_max,G,P,S,O,Cdens,granulocytes,plasmatocytes,spheroids,oenocytoids
24,Q,C,T,Control,9/18/2020,9/19/2020,4,10+G20,NA,NA,NA,NA,9/25/2020,10/3/2020,10/16/2020,adult,NA,10/3/2020,M,0.3583,0,NA,NA,NA,743.144,45.7198,25.6314,32.6875,Queen,Control,Tropical,13,15,7,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Q,C,T,Control,9/18/2020,9/19/2020,3,G22,5th,Blood/Transcp,9/25/2020,992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Queen,Control,Tropical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07975,1.3255,1.24575,0.004548786,88,10,12,9,11737.5,0.739495798,0.084033613,0.100840336,0.075630252
26,Q,C,T,Control,9/18/2020,9/19/2020,3,G22,NA,NA,NA,NA,9/27/2020,10/4/2020,10/11/2020,adult,NA,10/4/2020,F,0.3282,0,NA,NA,NA,757.997,44.8919,25.8939,34.9493,Queen,Control,Tropical,7,16,9,7,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Q,C,T,Control,9/18/2020,9/19/2020,3,G22,NA,NA,NA,NA,9/27/2020,10/4/2020,10/15/2020,adult,NA,10/4/2020,M,0.3301,0,NA,NA,NA,700.87,43.7732,24.4103,34.8636,Queen,Control,Tropical,11,16,9,7,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Q,C,T,Control,9/18/2020,9/19/2020,6,8+G13,5th,Blood/Transcp,9/25/2020,901.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Queen,Control,Tropical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06825,1.063,0.99475,0.003868522,110,27,7,4,16200,0.743243243,0.182432432,0.047297297,0.027027027
29,Q,C,T,Control,9/18/2020,9/19/2020,6,8+G13,NA,NA,NA,NA,9/25/2020,10/3/2020,10/14/2020,adult,NA,10/3/2020,F,0.2541,0,NA,NA,NA,530.323,37.8908,21.1326,36.5891,Queen,Control,Tropical,11,15,7,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Q,C,T,Control,9/18/2020,9/19/2020,6,8+G13,NA,NA,NA,NA,9/25/2020,10/3/2020,10/15/2020,adult,Duplicates incubator 1/2 (or 330),10/3/2020,M,0.3093,0,NA,NA,NA,611.894,41.7464,23.2062,33.7537,Queen,Control,Tropical,12,15,7,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Q,C,T,Control,9/18/2020,9/19/2020,6,8+G13,NA,NA,NA,NA,9/26/2020,10/5/2020,10/19/2020,adult,NA,10/5/2020,M,0.3925,0,NA,NA,NA,712.246,44.079,24.6693,31.8994,Queen,Control,Tropical,14,17,8,9,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Q,C,T,Control,9/18/2020,9/19/2020,6,8+G13,NA,NA,NA,NA,9/25/2020,10/3/2020,10/14/2020,adult,NA,10/3/2020,F,0.3145,0,NA,NA,NA,644.153,41.4962,23.3074,33.4218,Queen,Control,Tropical,11,15,7,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Q,C,T,Control,9/18/2020,9/19/2020,8,G9,5th,Blood/Transcp,9/25/2020,951.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Queen,Control,Tropical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0765,2.35525,2.27875,0.017081558,85,23,10,5,17137.5,0.691056911,0.18699187,0.081300813,0.040650407
34,Q,C,T,Control,9/18/2020,9/19/2020,8,G9,NA,NA,NA,NA,9/26/2020,10/5/2020,10/16/2020,adult,NA,10/5/2020,M,0.3816,0,NA,NA,NA,733.235,44.6678,24.6376,32.7443,Queen,Control,Tropical,11,17,8,9,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Q,C,T,Control,9/18/2020,9/19/2020,7,7+G7,NA,NA,NA,NA,9/25/2020,10/3/2020,10/17/2020,adult,NA,10/3/2020,F,0.4062,0,NA,NA,NA,760.733,46.6666,25.3567,36.5808,Queen,Control,Tropical,14,15,7,8,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Q,C,T,Control,9/18/2020,9/19/2020,7,7+G7,NA,NA,NA,NA,9/25/2020,10/5/2020,10/11/2020,adult,NA,10/5/2020,F,0.3921,0,NA,NA,NA,809.777,48.2865,26.2557,36.6021,Queen,Control,Tropical,6,17,7,10,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Q,C,T,Control,9/18/2020,9/19/2020,7,7+G7,NA,NA,NA,NA,9/26/2020,10/3/2020,10/13/2020,adult,NA,10/3/2020,F,0.402,0,NA,NA,NA,769.916,47.1321,25.5161,36.4731,Queen,Control,Tropical,10,15,8,7,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Q,C,T,Control,9/18/2020,9/19/2020,7,7+G7,NA,NA,NA,NA,9/26/2020,10/5/2020,10/16/2020,adult,NA,10/5/2020,F,0.3617,0,NA,NA,NA,749.019,44.6148,25.1723,32.8147,Queen,Control,Tropical,11,17,8,9,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Q,C,T,Control,9/18/2020,9/19/2020,5,G16,NA,NA,NA,NA,9/26/2020,10/5/2020,10/19/2020,adult,NA,10/5/2020,M,0.4292,0,NA,NA,NA,793.034,47.7848,25.8789,31.1953,Queen,Control,Tropical,14,17,8,9,0,0,0,0,0,NA,C/UI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Q,C,T,Control,9/18/2020,9/19/2020,5,G16,NA,NA,NA,NA,NA,NA,9/24/2020,larva,Death 5th instar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Queen,Control,Tropical,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Q,C,S,Control,9/18/2020,9/19/2020,7,7+G7,5th,Blood/Transcp,9/25/2020,895.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Queen,Control,Swamp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10225,1.96125,1.859,0.010999051,84,9,5,6,12637.5,0.807692308,0.086538462,0.048076923,0.057692308
